index,City,Date,Card Type,Category,Gender,Amount
72,Delhi,2013-10-04,Signature,Bills,Female,550782
73,Greater Mumbai,2014-06-14,Platinum,Bills,Female,835872
74,Ahmedabad,2014-08-24,Silver,Bills,Female,540497
75,Greater Mumbai,2015-04-02,Platinum,Bills,Female,525977
76,Greater Mumbai,2014-06-27,Gold,Bills,Female,789393
77,Greater Mumbai,2015-02-06,Platinum,Bills,Female,689478
78,Bengaluru,2014-03-29,Silver,Bills,Female,499079
79,Ahmedabad,2014-04-22,Platinum,Bills,Female,665107
80,Greater Mumbai,2014-10-14,Platinum,Bills,Female,998077
81,Ahmedabad,2014-02-02,Silver,Bills,Female,934205
82,Bengaluru,2015-04-01,Platinum,Bills,Female,823426
83,Ahmedabad,2015-01-13,Signature,Bills,Female,282910
84,Bengaluru,2014-03-27,Gold,Bills,Female,418675
85,Ahmedabad,2015-02-17,Silver,Bills,Female,804949
86,Bengaluru,2015-02-10,Gold,Bills,Female,686601
87,Greater Mumbai,2014-02-26,Silver,Bills,Female,561220
88,Greater Mumbai,2015-05-07,Gold,Bills,Female,762534
89,Bengaluru,2014-01-05,Gold,Bills,Female,327947
90,Bengaluru,2014-04-07,Gold,Bills,Female,492986
91,Delhi,2015-02-20,Signature,Bills,Female,369237
92,Bengaluru,2015-01-19,Platinum,Bills,Female,983839
93,Ahmedabad,2014-11-14,Gold,Bills,Female,776716
94,Greater Mumbai,2014-07-21,Gold,Bills,Female,664632
95,Bengaluru,2015-02-03,Gold,Bills,Female,466727
96,Bengaluru,2013-11-01,Gold,Bills,Female,896384
97,Delhi,2013-12-07,Signature,Bills,Female,712001
98,Greater Mumbai,2014-08-05,Silver,Bills,Female,246865
99,Greater Mumbai,2015-01-08,Signature,Bills,Female,858729
100,Delhi,2015-04-11,Platinum,Bills,Female,581882
101,Greater Mumbai,2015-02-15,Signature,Bills,Female,646426
102,Bengaluru,2015-03-24,Silver,Bills,Female,687088
103,Bengaluru,2013-10-13,Signature,Bills,Female,973026
104,Greater Mumbai,2015-04-24,Silver,Bills,Female,944398
105,Ahmedabad,2014-11-09,Platinum,Bills,Female,414422
106,Bengaluru,2015-02-04,Signature,Bills,Female,408503
107,Bengaluru,2014-03-06,Signature,Bills,Female,984466
108,Greater Mumbai,2014-03-27,Gold,Bills,Female,919997
109,Greater Mumbai,2013-11-13,Signature,Bills,Female,535101
110,Greater Mumbai,2013-10-22,Signature,Bills,Female,978301
111,Greater Mumbai,2014-09-27,Gold,Bills,Female,880406
112,Ahmedabad,2014-11-14,Silver,Bills,Female,447241
113,Bengaluru,2013-10-21,Platinum,Bills,Female,382191
114,Bengaluru,2015-05-15,Silver,Bills,Female,775859
115,Bengaluru,2014-03-21,Platinum,Bills,Female,832637
116,Bengaluru,2015-04-03,Platinum,Bills,Female,458526
117,Ahmedabad,2015-04-06,Signature,Bills,Female,440995
118,Ahmedabad,2013-11-05,Platinum,Bills,Female,490128
119,Delhi,2013-10-07,Platinum,Bills,Female,897079
120,Delhi,2014-10-31,Gold,Bills,Female,431948
121,Bengaluru,2014-04-03,Silver,Bills,Female,228072
122,Delhi,2013-11-21,Gold,Bills,Female,757649
123,Delhi,2014-05-11,Signature,Bills,Female,919877
124,Greater Mumbai,2014-05-23,Gold,Bills,Female,605615
125,Bengaluru,2015-05-22,Platinum,Bills,Female,500852
126,Greater Mumbai,2015-02-15,Signature,Bills,Female,488136
127,Delhi,2014-06-16,Gold,Bills,Female,937828
128,Delhi,2014-01-27,Gold,Bills,Female,315873
129,Greater Mumbai,2015-05-20,Silver,Bills,Female,567623
130,Greater Mumbai,2013-10-29,Platinum,Bills,Female,555123
131,Bengaluru,2014-04-20,Gold,Bills,Female,498843
132,Greater Mumbai,2014-05-23,Silver,Bills,Female,752610
133,Greater Mumbai,2015-03-11,Platinum,Bills,Female,494540
134,Delhi,2013-10-27,Gold,Bills,Female,996754
135,Ahmedabad,2014-07-14,Signature,Bills,Female,245572
136,Delhi,2014-04-18,Gold,Bills,Female,974384
137,Ahmedabad,2014-03-25,Silver,Bills,Female,846635
138,Ahmedabad,2014-09-01,Silver,Bills,Female,635473
139,Delhi,2015-03-23,Gold,Bills,Female,224510
140,Delhi,2015-01-24,Silver,Bills,Female,478671
141,Greater Mumbai,2013-10-04,Gold,Bills,Female,990700
142,Delhi,2014-03-14,Gold,Bills,Female,228565
143,Bengaluru,2014-01-03,Silver,Bills,Female,297732
144,Greater Mumbai,2014-12-03,Signature,Bills,Female,559262
145,Bengaluru,2014-07-01,Signature,Bills,Female,809907
146,Ahmedabad,2014-08-21,Signature,Bills,Female,428316
147,Ahmedabad,2014-03-05,Signature,Bills,Female,275065
148,Bengaluru,2014-04-20,Silver,Bills,Female,845653
149,Ahmedabad,2013-11-20,Signature,Bills,Female,236296
150,Bengaluru,2014-09-25,Signature,Bills,Female,440572
151,Ahmedabad,2015-02-06,Gold,Bills,Female,478115
152,Bengaluru,2013-10-26,Gold,Bills,Female,897621
153,Greater Mumbai,2015-05-06,Signature,Bills,Female,554281
154,Delhi,2014-09-30,Silver,Bills,Female,245452
155,Delhi,2014-01-17,Platinum,Bills,Female,365045
156,Greater Mumbai,2015-01-11,Gold,Bills,Female,496047
157,Bengaluru,2015-02-11,Silver,Bills,Female,466814
158,Bengaluru,2014-11-10,Gold,Bills,Female,835177
159,Delhi,2015-01-12,Silver,Bills,Female,219698
160,Bengaluru,2014-10-18,Silver,Bills,Female,784541
161,Delhi,2013-10-25,Signature,Bills,Female,576994
162,Bengaluru,2015-05-15,Gold,Bills,Female,464663
163,Bengaluru,2014-05-03,Platinum,Bills,Female,380270
164,Ahmedabad,2014-10-02,Silver,Bills,Female,772082
165,Delhi,2015-04-09,Gold,Bills,Female,230853
166,Bengaluru,2013-10-06,Signature,Bills,Female,677654
167,Greater Mumbai,2014-02-05,Signature,Bills,Female,929247
168,Ahmedabad,2015-04-09,Platinum,Bills,Female,851374
169,Ahmedabad,2014-01-19,Platinum,Bills,Female,637600
170,Greater Mumbai,2013-11-09,Platinum,Bills,Female,681749
171,Delhi,2014-03-25,Silver,Bills,Female,847958
172,Greater Mumbai,2014-02-18,Gold,Bills,Female,877569
173,Ahmedabad,2013-10-14,Platinum,Bills,Female,450413
174,Bengaluru,2015-05-01,Signature,Bills,Female,219041
175,Bengaluru,2014-12-31,Gold,Bills,Female,866572
176,Greater Mumbai,2014-03-26,Signature,Bills,Female,570791
177,Ahmedabad,2014-04-28,Silver,Bills,Female,705464
178,Greater Mumbai,2014-04-06,Signature,Bills,Female,806821
179,Greater Mumbai,2014-03-27,Platinum,Bills,Female,515472
180,Ahmedabad,2014-09-23,Silver,Bills,Female,352207
181,Ahmedabad,2015-03-04,Gold,Bills,Female,342761
182,Bengaluru,2014-02-27,Signature,Bills,Female,249099
183,Ahmedabad,2014-08-27,Platinum,Bills,Female,995634
184,Bengaluru,2014-12-12,Signature,Bills,Female,435097
185,Ahmedabad,2014-06-16,Platinum,Bills,Female,797815
186,Delhi,2014-01-02,Gold,Bills,Female,326922
187,Bengaluru,2014-12-11,Gold,Bills,Female,396241
188,Delhi,2014-12-14,Gold,Bills,Female,486949
189,Greater Mumbai,2014-01-17,Gold,Bills,Female,333483
190,Ahmedabad,2013-10-05,Platinum,Bills,Female,612572
191,Bengaluru,2015-03-18,Silver,Bills,Female,327244
192,Ahmedabad,2014-02-04,Silver,Bills,Female,955468
193,Greater Mumbai,2015-02-25,Gold,Bills,Female,927864
194,Delhi,2014-03-28,Signature,Bills,Female,555220
195,Delhi,2014-12-28,Silver,Bills,Female,952640
196,Ahmedabad,2014-05-31,Silver,Bills,Female,695749
197,Greater Mumbai,2014-08-22,Platinum,Bills,Female,365724
198,Greater Mumbai,2015-03-03,Platinum,Bills,Female,738108
199,Ahmedabad,2015-01-17,Platinum,Bills,Female,650785
200,Delhi,2014-10-23,Signature,Bills,Female,611486
201,Bengaluru,2014-08-05,Platinum,Bills,Female,965721
202,Ahmedabad,2014-10-12,Gold,Bills,Female,413052
203,Ahmedabad,2014-01-22,Silver,Bills,Female,584822
204,Ahmedabad,2015-03-25,Gold,Bills,Female,980146
205,Ahmedabad,2014-10-10,Signature,Bills,Female,926072
206,Delhi,2014-04-16,Silver,Bills,Female,482394
207,Bengaluru,2014-02-21,Signature,Bills,Female,718346
208,Bengaluru,2014-04-24,Silver,Bills,Female,491598
209,Delhi,2014-09-07,Platinum,Bills,Female,848852
210,Bengaluru,2014-12-28,Gold,Bills,Female,396139
211,Ahmedabad,2014-10-13,Signature,Bills,Female,856974
212,Ahmedabad,2015-04-03,Signature,Bills,Female,855990
213,Delhi,2015-02-16,Signature,Bills,Female,924776
214,Greater Mumbai,2014-04-03,Signature,Bills,Female,204850
215,Delhi,2013-11-03,Platinum,Bills,Female,780669
216,Greater Mumbai,2014-04-17,Signature,Bills,Female,887442
217,Delhi,2014-01-22,Signature,Bills,Female,297820
218,Delhi,2015-03-14,Signature,Bills,Female,687879
219,Greater Mumbai,2013-10-13,Silver,Bills,Female,738456
220,Delhi,2014-08-24,Platinum,Bills,Female,378535
221,Greater Mumbai,2015-05-09,Silver,Bills,Female,334116
222,Delhi,2014-06-07,Silver,Bills,Female,772360
223,Ahmedabad,2014-11-26,Gold,Bills,Female,580796
224,Greater Mumbai,2014-10-21,Silver,Bills,Female,855465
225,Greater Mumbai,2014-06-15,Gold,Bills,Female,978989
226,Ahmedabad,2015-04-25,Gold,Bills,Female,451874
227,Ahmedabad,2014-09-07,Silver,Bills,Female,670750
228,Bengaluru,2015-05-19,Signature,Bills,Female,977951
229,Delhi,2014-02-23,Platinum,Bills,Female,403466
230,Delhi,2013-10-28,Signature,Bills,Female,861177
231,Ahmedabad,2014-12-17,Gold,Bills,Female,528612
232,Ahmedabad,2014-12-04,Signature,Bills,Female,339670
233,Delhi,2013-11-18,Signature,Bills,Female,963751
234,Ahmedabad,2014-11-30,Gold,Bills,Female,761930
235,Ahmedabad,2014-08-21,Signature,Bills,Female,852806
236,Delhi,2014-05-25,Signature,Bills,Female,207755
237,Greater Mumbai,2015-04-19,Gold,Bills,Female,489540
238,Ahmedabad,2014-03-25,Silver,Bills,Female,274395
239,Bengaluru,2014-02-11,Platinum,Bills,Female,566945
240,Ahmedabad,2014-12-09,Gold,Bills,Female,705690
241,Bengaluru,2014-03-25,Gold,Bills,Female,894888
242,Greater Mumbai,2014-01-02,Platinum,Bills,Female,811899
243,Greater Mumbai,2014-12-25,Silver,Bills,Female,677645
244,Greater Mumbai,2014-10-16,Platinum,Bills,Female,326162
245,Delhi,2015-04-19,Platinum,Bills,Female,316946
246,Delhi,2014-01-20,Platinum,Bills,Female,622373
247,Bengaluru,2014-05-10,Signature,Bills,Female,640653
248,Ahmedabad,2015-01-09,Signature,Bills,Female,745493
249,Delhi,2013-10-31,Gold,Bills,Female,868021
250,Delhi,2014-11-28,Platinum,Bills,Female,284923
251,Bengaluru,2014-07-21,Platinum,Bills,Female,814422
252,Bengaluru,2015-04-22,Gold,Bills,Female,599741
253,Ahmedabad,2014-06-10,Platinum,Bills,Female,804560
254,Ahmedabad,2015-04-17,Gold,Bills,Female,996291
255,Ahmedabad,2013-11-09,Platinum,Bills,Female,477553
256,Delhi,2015-01-02,Gold,Bills,Female,216028
257,Greater Mumbai,2015-03-10,Signature,Bills,Female,275427
258,Delhi,2013-12-22,Silver,Bills,Female,722048
259,Delhi,2015-02-14,Silver,Bills,Female,292365
260,Ahmedabad,2015-01-30,Silver,Bills,Female,400393
261,Greater Mumbai,2014-04-01,Platinum,Bills,Female,219720
262,Delhi,2015-02-15,Signature,Bills,Female,981404
263,Bengaluru,2014-11-24,Signature,Bills,Female,639670
264,Bengaluru,2014-08-07,Gold,Bills,Female,814333
265,Ahmedabad,2013-10-17,Gold,Bills,Female,569582
266,Ahmedabad,2014-05-25,Gold,Bills,Female,954111
267,Ahmedabad,2014-05-16,Gold,Bills,Female,635267
268,Delhi,2013-10-11,Gold,Bills,Female,393651
269,Ahmedabad,2014-06-02,Platinum,Bills,Female,572306
270,Ahmedabad,2014-08-06,Silver,Bills,Female,407647
271,Greater Mumbai,2015-01-26,Gold,Bills,Female,734396
272,Delhi,2015-03-02,Platinum,Bills,Female,224414
273,Ahmedabad,2014-09-10,Signature,Bills,Female,203194
274,Greater Mumbai,2015-01-22,Gold,Bills,Female,250410
275,Delhi,2015-04-04,Silver,Bills,Female,830697
276,Greater Mumbai,2014-05-16,Platinum,Bills,Female,790800
277,Greater Mumbai,2014-02-22,Silver,Bills,Female,638570
278,Greater Mumbai,2014-08-13,Silver,Bills,Female,380409
279,Greater Mumbai,2014-04-01,Gold,Bills,Female,601631
280,Ahmedabad,2014-01-08,Gold,Bills,Female,690534
281,Ahmedabad,2015-03-05,Silver,Bills,Female,423661
282,Greater Mumbai,2014-12-08,Silver,Bills,Female,936294
283,Bengaluru,2014-11-29,Platinum,Bills,Female,537050
284,Delhi,2015-03-08,Silver,Bills,Female,899343
285,Greater Mumbai,2013-11-25,Platinum,Bills,Female,834691
286,Ahmedabad,2015-04-13,Silver,Bills,Female,240216
287,Greater Mumbai,2014-04-15,Signature,Bills,Female,424370
288,Delhi,2015-02-13,Silver,Bills,Female,593991
289,Greater Mumbai,2014-10-02,Signature,Bills,Female,768467
290,Delhi,2015-02-07,Gold,Bills,Female,781959
291,Bengaluru,2014-12-27,Platinum,Bills,Female,553907
292,Bengaluru,2014-08-04,Platinum,Bills,Female,308622
293,Greater Mumbai,2015-05-05,Signature,Bills,Female,912334
294,Delhi,2015-01-28,Silver,Bills,Female,586474
295,Delhi,2014-04-06,Gold,Bills,Female,521237
296,Delhi,2013-10-30,Signature,Bills,Female,446266
297,Greater Mumbai,2014-09-30,Platinum,Bills,Female,511168
298,Bengaluru,2013-12-28,Signature,Bills,Female,608438
299,Delhi,2014-10-18,Gold,Bills,Female,973519
300,Delhi,2014-11-28,Platinum,Bills,Female,688577
301,Bengaluru,2014-05-12,Silver,Bills,Female,686619
302,Greater Mumbai,2014-11-06,Signature,Bills,Female,255982
303,Greater Mumbai,2014-03-02,Signature,Bills,Female,464656
304,Delhi,2015-04-19,Signature,Bills,Female,212319
305,Greater Mumbai,2015-04-18,Platinum,Bills,Female,307563
306,Delhi,2015-04-15,Silver,Bills,Female,407564
307,Bengaluru,2014-10-12,Signature,Bills,Female,331349
308,Delhi,2015-04-14,Silver,Bills,Female,391325
309,Ahmedabad,2014-10-07,Silver,Bills,Female,530244
310,Greater Mumbai,2014-04-16,Signature,Bills,Female,668736
311,Bengaluru,2014-12-03,Gold,Bills,Female,517448
312,Ahmedabad,2014-08-03,Platinum,Bills,Female,788531
313,Ahmedabad,2014-03-17,Gold,Bills,Female,474729
314,Bengaluru,2015-01-16,Platinum,Bills,Female,590841
315,Greater Mumbai,2014-01-05,Platinum,Bills,Female,608427
316,Delhi,2015-05-02,Silver,Bills,Female,719835
317,Delhi,2013-12-30,Signature,Bills,Female,375139
318,Bengaluru,2014-05-19,Platinum,Bills,Female,229589
319,Bengaluru,2014-07-05,Signature,Bills,Female,376453
320,Delhi,2013-10-10,Signature,Bills,Female,360009
321,Ahmedabad,2014-08-03,Signature,Bills,Female,770346
322,Greater Mumbai,2015-05-23,Signature,Bills,Female,489043
323,Bengaluru,2014-11-11,Platinum,Bills,Female,503037
324,Greater Mumbai,2014-01-11,Platinum,Bills,Female,731261
325,Ahmedabad,2014-02-14,Signature,Bills,Female,262755
326,Greater Mumbai,2014-07-16,Gold,Bills,Female,825475
327,Greater Mumbai,2014-02-24,Platinum,Bills,Female,922630
328,Delhi,2014-09-25,Gold,Bills,Female,752172
329,Ahmedabad,2014-06-11,Gold,Bills,Female,418009
330,Delhi,2014-06-07,Signature,Bills,Female,994537
331,Greater Mumbai,2014-08-02,Silver,Bills,Female,922206
332,Greater Mumbai,2014-05-21,Signature,Bills,Female,389097
333,Bengaluru,2015-04-04,Signature,Bills,Female,880778
334,Greater Mumbai,2015-03-03,Gold,Bills,Female,327971
335,Bengaluru,2014-03-02,Signature,Bills,Female,689201
336,Bengaluru,2015-05-17,Silver,Bills,Female,792440
337,Bengaluru,2015-03-17,Signature,Bills,Female,602222
338,Ahmedabad,2014-09-03,Platinum,Bills,Female,502399
339,Ahmedabad,2014-03-17,Silver,Bills,Female,272804
340,Bengaluru,2014-06-06,Platinum,Bills,Female,613280
341,Delhi,2014-10-17,Signature,Bills,Female,876491
342,Bengaluru,2014-02-25,Silver,Bills,Female,820217
343,Greater Mumbai,2014-09-06,Signature,Bills,Female,994184
344,Ahmedabad,2013-12-07,Platinum,Bills,Female,515263
345,Ahmedabad,2014-08-28,Signature,Bills,Female,338527
346,Ahmedabad,2014-06-16,Silver,Bills,Female,934683
347,Ahmedabad,2014-07-07,Signature,Bills,Female,454570
348,Greater Mumbai,2015-01-28,Gold,Bills,Female,654519
349,Ahmedabad,2014-06-12,Gold,Bills,Female,958047
350,Bengaluru,2013-11-03,Silver,Bills,Female,465281
351,Ahmedabad,2013-12-31,Signature,Bills,Female,653161
352,Ahmedabad,2014-04-14,Gold,Bills,Female,307350
353,Greater Mumbai,2014-08-27,Silver,Bills,Female,41002
354,Bengaluru,2014-01-03,Silver,Bills,Female,34743
355,Bengaluru,2014-09-26,Signature,Bills,Female,195589
356,Bengaluru,2014-03-10,Signature,Bills,Female,204735
357,Ahmedabad,2014-05-14,Signature,Bills,Female,118112
358,Greater Mumbai,2013-12-12,Platinum,Bills,Female,61572
359,Delhi,2015-02-25,Gold,Bills,Female,274938
360,Greater Mumbai,2014-02-21,Signature,Bills,Female,43854
361,Delhi,2014-04-27,Gold,Bills,Female,8798
362,Greater Mumbai,2015-05-08,Gold,Bills,Female,192241
363,Bengaluru,2014-04-10,Silver,Bills,Female,128164
364,Delhi,2014-04-28,Signature,Bills,Female,249061
365,Greater Mumbai,2014-01-29,Gold,Bills,Female,275283
366,Greater Mumbai,2014-01-03,Platinum,Bills,Female,172194
367,Ahmedabad,2015-05-13,Gold,Bills,Female,13162
368,Bengaluru,2015-02-05,Platinum,Bills,Female,3427
369,Bengaluru,2015-01-07,Gold,Bills,Female,171374
370,Delhi,2015-02-19,Signature,Bills,Female,286251
371,Ahmedabad,2014-10-19,Platinum,Bills,Female,123417
372,Delhi,2013-12-03,Silver,Bills,Female,81088
373,Ahmedabad,2014-10-26,Signature,Bills,Female,64113
374,Bengaluru,2014-03-27,Platinum,Bills,Female,54374
375,Ahmedabad,2015-03-18,Signature,Bills,Female,175515
376,Delhi,2013-11-25,Gold,Bills,Female,78773
377,Bengaluru,2014-06-25,Signature,Bills,Female,143515
378,Delhi,2014-11-22,Silver,Bills,Female,263613
379,Greater Mumbai,2015-04-22,Platinum,Bills,Female,265434
380,Delhi,2014-06-03,Signature,Bills,Female,87839
381,Delhi,2014-06-16,Signature,Bills,Female,60905
382,Delhi,2015-04-09,Platinum,Bills,Female,199726
383,Delhi,2015-01-20,Silver,Bills,Female,267896
384,Ahmedabad,2013-12-31,Gold,Bills,Female,198937
385,Greater Mumbai,2014-10-02,Gold,Bills,Female,90745
386,Greater Mumbai,2014-07-24,Silver,Bills,Female,86676
387,Greater Mumbai,2015-05-08,Platinum,Bills,Female,163574
388,Greater Mumbai,2015-04-27,Signature,Bills,Female,2138
389,Bengaluru,2014-06-11,Silver,Bills,Female,253749
390,Delhi,2014-06-06,Platinum,Bills,Female,60187
391,Bengaluru,2015-03-03,Platinum,Bills,Female,15566
392,Greater Mumbai,2014-07-11,Signature,Bills,Female,242144
393,Delhi,2014-03-17,Platinum,Bills,Female,114049
394,Bengaluru,2014-03-17,Gold,Bills,Female,100992
395,Delhi,2014-03-03,Silver,Bills,Female,173017
396,Greater Mumbai,2014-06-07,Gold,Bills,Female,279567
397,Delhi,2013-12-28,Signature,Bills,Female,25016
398,Delhi,2013-11-11,Silver,Bills,Female,157982
399,Bengaluru,2014-05-17,Signature,Bills,Female,240387
400,Delhi,2014-08-31,Platinum,Bills,Female,134030
401,Bengaluru,2015-01-26,Gold,Bills,Female,108651
402,Delhi,2014-01-17,Gold,Bills,Female,138617
403,Bengaluru,2014-01-27,Signature,Bills,Female,98963
404,Delhi,2013-12-24,Silver,Bills,Female,25486
405,Delhi,2015-03-03,Gold,Bills,Female,231140
406,Ahmedabad,2013-10-22,Gold,Bills,Female,20032
407,Greater Mumbai,2015-01-14,Gold,Bills,Female,293938
408,Delhi,2014-01-11,Silver,Bills,Female,88175
409,Ahmedabad,2015-02-07,Platinum,Bills,Female,105297
410,Delhi,2013-10-08,Platinum,Bills,Female,129169
411,Greater Mumbai,2014-08-14,Signature,Bills,Female,172386
412,Greater Mumbai,2015-05-09,Platinum,Bills,Female,46369
413,Greater Mumbai,2014-04-02,Silver,Bills,Female,158636
414,Delhi,2014-11-26,Signature,Bills,Female,87219
415,Delhi,2014-11-16,Gold,Bills,Female,183445
416,Bengaluru,2014-06-27,Silver,Bills,Female,147977
417,Ahmedabad,2014-11-19,Platinum,Bills,Female,243279
418,Bengaluru,2014-04-04,Platinum,Bills,Female,243950
419,Delhi,2015-04-14,Silver,Bills,Female,32548
420,Delhi,2013-12-09,Platinum,Bills,Female,118126
421,Greater Mumbai,2013-11-30,Platinum,Bills,Female,13325
422,Greater Mumbai,2014-02-16,Gold,Bills,Female,295055
423,Greater Mumbai,2015-01-12,Platinum,Bills,Female,64764
424,Bengaluru,2014-02-03,Platinum,Bills,Female,174520
425,Delhi,2013-11-05,Signature,Bills,Female,72763
426,Greater Mumbai,2014-09-27,Signature,Bills,Female,269809
427,Delhi,2014-06-29,Silver,Bills,Female,81145
428,Ahmedabad,2014-07-13,Silver,Bills,Female,25948
429,Greater Mumbai,2015-01-23,Silver,Bills,Female,120188
430,Greater Mumbai,2014-12-05,Signature,Bills,Female,8259
431,Delhi,2014-04-15,Signature,Bills,Female,285830
432,Bengaluru,2015-04-27,Gold,Bills,Female,67039
433,Ahmedabad,2014-07-25,Gold,Bills,Female,14370
434,Ahmedabad,2014-10-10,Platinum,Bills,Female,54304
435,Greater Mumbai,2013-10-18,Gold,Bills,Female,188856
436,Ahmedabad,2014-01-18,Gold,Bills,Female,44635
437,Greater Mumbai,2013-11-22,Platinum,Bills,Female,227273
438,Delhi,2014-03-26,Gold,Bills,Female,234200
439,Delhi,2014-12-12,Signature,Bills,Female,79053
440,Greater Mumbai,2015-03-01,Silver,Bills,Female,49711
441,Greater Mumbai,2014-10-29,Signature,Bills,Female,203463
442,Bengaluru,2014-07-29,Signature,Bills,Female,196985
443,Greater Mumbai,2015-04-18,Gold,Bills,Female,246457
444,Delhi,2013-11-05,Platinum,Bills,Female,88344
445,Bengaluru,2014-08-27,Signature,Bills,Female,167457
446,Bengaluru,2014-03-04,Gold,Bills,Female,254598
447,Delhi,2014-01-27,Platinum,Bills,Female,102486
448,Greater Mumbai,2014-01-18,Silver,Bills,Female,159428
449,Bengaluru,2014-01-28,Platinum,Bills,Female,296987
450,Ahmedabad,2015-02-06,Signature,Bills,Female,89418
451,Delhi,2015-02-26,Signature,Bills,Female,77247
452,Bengaluru,2014-01-24,Gold,Bills,Female,66542
453,Greater Mumbai,2014-11-27,Silver,Bills,Female,194526
454,Bengaluru,2014-07-16,Signature,Bills,Female,178119
455,Bengaluru,2014-05-16,Gold,Bills,Female,258653
456,Delhi,2014-11-02,Silver,Bills,Female,97425
